stid,dsid,sitename,lat,long,dep_env,Lake/Bog/Neither [Andria],edited [Claire],notes [Claire],Site Notes [Grace&Jack],lake_size [ha],lake_size_andria_ge [m2],Notes [Andria],Status [Grace],Tilia's Entered Lake Size (ha) [Grace],Notes [Grace]
8586,13097,Glimmerglass Lake,46.21517,-89.32082,Glacial Origin Lake,lake,1,Confirmed lake and peatland: Brugam et al 2004,,10,,,done,10,added dataset value
1355,1390,Joe Lake,66.76667,-157.21667,Kettle Lake,lake,2,Confirmed site with pub (Anderson 1988),,30,,,done,2,kept Neotoma value
1356,1391,Joes Pond,48.24,-58.24,Lacustrine,lake,NA,NA,,NA,,,,,
1357,1392,Johnson River Bog,63.71111,-144.65,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1358,1393,Tourbière du lac Joncas,47.25778,-71.16278,Bog,bog,NA,NA,,NA,,,,,
1362,1397,Tourbière de Lanoraie JOSEPH,45.99194,-73.30278,Bog,bog,NA,NA,,NA,,,,,
1378,1413,Baker Lake (Nichols Site 17),64.31503,-96.00932,Moss Polster,polster,NA,NA,,NA,,,,,
9610,14139,Vogel Reservoir,47.09985,-108.341685,Reservoir,lake,NA,NA,,NA,,,,,
9611,14140,Krieder Reservoir,47.09593,-107.47632,Reservoir,lake,NA,NA,,NA,,,,,
9612,14141,Fork Reservoir,47.444725,-106.412405,Reservoir,lake,NA,NA,,NA,,,,,
9613,14142,L A K Reservoir,43.8278,-104.10935,Reservoir,lake,NA,NA,,NA,,,,,
9614,14143,Little Thunder Reservoir,43.688285,-105.377655,Reservoir,lake,NA,NA,,NA,,,,,
9615,14144,MW Lake,43.614165,-104.11841,Reservoir,lake,NA,NA,,NA,,,,,
9616,14145,New Underwood Dam,44.107485,-102.841905,Reservoir,lake,NA,NA,,NA,,,,,
9621,14156,Phillips Charging Buffalo Dam,44.38938,-102.773975,Stock Dam,lake,NA,NA,,NA,,,,,
9622,14157,Sheridan Lake,43.97367,-103.46811,Reservoir,lake,NA,NA,,NA,,,,,
9631,14174,Horsethief Lake,43.893085,-103.481505,Reservoir,lake,NA,NA,,NA,,,,,
9632,14175,Sylvan Lake,43.84595,-103.563575,Reservoir,lake,NA,NA,,NA,,,,,
9634,14178,Spring Lake,46.22469,-103.73472,Reservoir,lake,NA,NA,,NA,,,,,
9635,14179,Davis Dam,46.545005,-103.658015,Reservoir,lake,NA,NA,,NA,,,,,
9637,14182,Soda Lake,45.728515,-104.509205,Playa,lake,NA,NA,,NA,,,,,
9642,14191,Little Moreau Lake,45.34767,-101.092585,Reservoir,lake,NA,NA,,NA,,,,,
9643,14192,Unnamed Stock Dam,45.38822,-101.584415,Stock Dam,lake,NA,NA,,NA,,,,,
9653,14212,Owen Lake,45.465435,-102.40442,Reservoir,lake,NA,NA,,NA,,,,,
9659,14223,Unnamed Stock Dam,45.73753,-104.51315,Stock Dam,lake,NA,NA,,NA,,,,,
9660,14224,Park Pond Dam,45.511815,-103.315935,Stock Dam,lake,NA,NA,,NA,,,,,
9661,14225,Pot Hole Reservoir,45.62385,-104.13899,Stock Dam,lake,NA,NA,,NA,,,,,
9662,14226,Durkee Lake,44.98107,-102.052575,Reservoir,lake,NA,NA,,NA,,,,,
9665,14231,Dog Ear Lake,43.170225,-99.893725,Deflation Basin Lake,lake,NA,NA,,NA,,,,,
9666,14232,Cox Lake,44.56455,-103.99393,Solution Origin Lake,lake,NA,NA,,NA,,,,,
9667,14233,Cottonwood Lake,42.91363,-101.67625,Interdunal Lake,lake,NA,NA,,NA,,,,,
9668,14234,White Lake,43.04232,-100.69573,Deflation Basin Lake,lake,NA,NA,,NA,,,,,
9651,14235,Bitter Lake,45.28149,-97.30256,Kettle Lake,lake,NA,NA,,NA,,,,,
9669,14236,Sheridan State Fishing Lake,39.36248,-100.22989,Reservoir,lake,NA,NA,,NA,,,,,
9670,14237,Flagler Reservoir,39.28682,-102.986815,Reservoir,lake,NA,NA,,NA,,,,,
9671,14238,Eckelson Lake,46.94512,-98.297875,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
8556,14245,Alkaline Lake,46.66275,-99.5673,Kettle Lake,lake,NA,NA,,NA,,,,,
9675,14246,Medicine Lake,44.436525,-104.315815,Solution Origin Lake,lake,NA,NA,,NA,,,,,
9676,14247,Unnamed Playa,39.74158,-103.28101,Deflation Basin Lake,lake,NA,NA,,NA,,,,,
9677,14248,Bear Butte Lake,44.45566,-103.444455,Tectonic Origin Lake,lake,NA,NA,,NA,,,,,
9678,14249,Lake Oakwood,44.439995,-96.96795,Kettle Lake,lake,NA,NA,,NA,,,,,
9679,14250,Elbow Lake,47.893725,-98.73735,Kettle Lake,lake,NA,NA,,NA,,,,,
1676,14251,Medicine Lake,44.98419,-97.350125,Kettle Lake,lake,2,"Confirmed site with Google Earth, changed area",,289.2,,,done,107,**kept Neotoma value
9680,14252,Round Lake,48.031485,-100.276595,Kettle Lake,lake,NA,NA,,NA,,,,,
9681,14253,Lake George,46.74527,-99.49867,Ice Thrust Lake,lake,NA,NA,,NA,,,,,
9682,14254,Free Peoples Lake,47.908765,-98.729945,Kettle Lake,lake,NA,NA,,NA,,,,,
9688,14270,Bass Lake,45.19932,-94.878745,Glacial Origin Lake,lake,2,Confirmed lake: descirption and Umbanhowar 2004,,19.7,,,done,21,kept Neotoma value
9693,14279,Curlew Lake,44.241895,-102.761745,Reservoir,lake,NA,NA,,NA,,,,,
9701,14296,Roy Lake,45.6952,-97.44989,Kettle Lake,lake,NA,NA,,NA,,,,,
9702,14297,Lake Herman,43.989655,-97.17285,Kettle Lake,lake,NA,NA,,NA,,,,,
9703,14298,Lake Isabel,46.81848,-99.749755,Drift Filled Valley Lake,lake,NA,NA,,NA,,,,,
9704,14299,Stink Lake,46.88215,-99.42161,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1395,1430,Repulse Bay (Nichols Site E) [Naujaat],66.5233,-86.2403,Moss Polster,polster,NA,NA,,NA,,,,,
1396,1432,Kaiyak Lake,68.15,-161.41667,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,86,,,done,60,kept Neotoma value
1400,1437,Kanaaupscow,54.02778,-76.64389,Natural Lake,lake,NA,NA,,NA,,,,,
9708,14370,Linsley Pond,41.317115,-72.784335,Kettle Lake,lake,2,Confirmed lake: site description and Brugam 1978,,9.3,,,done,9.75,kept Neotoma value
9709,14371,Stink Lake,48.25071,-99.23709,Kettle Lake,lake,NA,NA,,NA,,,,,
9713,14378,Gascoyne Lake,46.13561,-103.096155,Reservoir,lake,NA,NA,,NA,,,,,
9714,14379,Unnamed Stock Dam,46.31401,-104.04863,Stock Dam,lake,NA,NA,,NA,,,,,
9715,14380,Round Lake,48.02619,-99.23122,Ice Thrust Lake,lake,NA,NA,,NA,,,,,
9716,14381,Twin Lakes (Be),47.964595,-99.09891,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9717,14382,"Devils Lake, Creel Bay",48.0859,-98.92935,Ice Thrust Lake,lake,2,"Confirmed site, changed area",,61,,,,,**no site found
9719,14385,Turkey 3 Pond,39.10711,-96.58687,Stock Dam,lake,NA,NA,,NA,,,,,
9720,14386,Haines Pond,39.32589,-96.6844,Stock Dam,lake,NA,NA,,NA,,,,,
9721,14387,Bull Pond,39.391925,-96.928015,Stock Dam,lake,NA,NA,,NA,,,,,
9722,14388,Picnic Pond,39.443365,-96.84034,Stock Dam,lake,NA,NA,,NA,,,,,
9723,14389,Rannells Ranch Pond,39.137365,-96.53011,Stock Dam,lake,NA,NA,,NA,,,,,
9724,14390,Sunrock Pond,38.94889,-96.781,Stock Dam,lake,NA,NA,,NA,,,,,
9725,14391,Tallgrass 1 Pond,38.434275,-96.563565,Stock Dam,lake,NA,NA,,NA,,,,,
9726,14392,Tallgrass 2 Pond,38.40737,-96.560305,Stock Dam,lake,NA,NA,,NA,,,,,
9727,14393,4H Pond [Lake Bluestem],38.86432,-96.90135,Stock Dam,lake,NA,NA,,NA,,,,,
9728,14394,Banker Pond,38.399265,-96.46875,Stock Dam,lake,NA,NA,,NA,,,,,
9729,14395,Elm Pond,39.093155,-96.55071,Stock Dam,lake,NA,NA,,NA,,,,,
9730,14396,Ferrell Upland Pond,37.580095,-96.542475,Stock Dam,lake,NA,NA,,NA,,,,,
9731,14397,Ferrell Lowland Pond,37.59335,-96.50677,Stock Dam,lake,NA,NA,,NA,,,,,
9732,14398,"Devils Lake, Mission Bay",48.01823,-98.886825,Ice Thrust Lake,lake,NA,NA,,NA,,,,,
9733,14399,Harney Peak Pond 1,43.86718,-103.53718,Small Hollow,hollow,NA,NA,,NA,,,,,
9735,14403,Lake Sallie,46.77186,-95.896225,Kettle Lake,lake,2,Confirmed lake: descirption and Birks et al 1975,,508.5,,,done,515,kept Neotoma value
9736,14404,Chalk Zimmermann Pond,38.757795,-96.320045,Stock Dam,lake,NA,NA,,NA,,,,,
9737,14405,Houck Pond,38.74185,-96.28077,Stock Dam,lake,NA,NA,,NA,,,,,
9738,14410,Tower Lake,46.542635,-86.037795,Kettle Lake,lake,1,Confirmed loc. Changed area: Jackson et al 2014,,2.6,,,done,2.6,already in Neotoma
9739,14411,Spring Lake,47.945785,-98.81996,Ice Thrust Lake,lake,NA,NA,,NA,,,,,
9740,14412,Flint Oak Pond,37.518515,-96.043715,Stock Dam,lake,NA,NA,,NA,,,,,
9741,14413,Greenwood Pond,37.93724,-96.20088,Stock Dam,lake,NA,NA,,NA,,,,,
9742,14414,New Konza Pond,38.948315,-96.441615,Stock Dam,lake,NA,NA,,NA,,,,,
9743,14415,Pott 1 Pond,39.316445,-96.37635,Stock Dam,lake,NA,NA,,NA,,,,,
9744,14416,Schwant Pond,39.473045,-96.346745,Stock Dam,lake,NA,NA,,NA,,,,,
9745,14417,Goode Pond,39.460005,-96.5371,Stock Dam,lake,NA,NA,,NA,,,,,
9746,14418,Hippie 1 Pond,38.10608,-96.45788,Stock Dam,lake,NA,NA,,NA,,,,,
9747,14419,Hippie 2 Pond,38.127245,-96.480785,Stock Dam,lake,NA,NA,,NA,,,,,
9748,14420,Byer Pond,39.373185,-96.11764,Stock Dam,lake,NA,NA,,NA,,,,,
9749,14421,Shin Bone Lake,47.860095,-98.701195,Kettle Lake,lake,NA,NA,,NA,,,,,
9750,14422,Horseshoe Lake,47.84686,-98.783705,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1222,14423,Spiritwood Lake,47.074695,-98.5866,Drift Filled Valley Lake,lake,2,"Confirmed site with Google Earch, changed area",,56,,,done,180.255754,**kept Neotoma value
9751,14424,Conata Basin 1,43.743305,-102.19478,Stock Dam,lake,NA,NA,,NA,,,,,
9752,14425,Legion Lake,43.76049,-103.462515,Reservoir,lake,NA,NA,,NA,,,,,
9753,14426,Chappice Lake,50.16549,-110.363545,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9754,14427,Eagle Lake,51,-113.32361,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
9755,14428,Bellshill Lake,52.60273,-111.556055,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9756,14429,Gooseberry Lake,52.11802,-110.73929,Wind Origin Lake,lake,NA,NA,,NA,,,,,
9757,14430,Keiver's Lake,51.68784,-113.55489,Deflation Basin Lake,lake,NA,NA,,NA,,,,,
9758,14431,Little Fish Lake,51.377375,-112.233625,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
9759,14432,Lloyd Lake [Red Deer Lake],50.87114,-114.161275,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
9760,14433,Red Deer Lake,52.723195,-113.061665,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9761,14434,Twelve Mile Coulee,50.206685,-111.64238,Reservoir,lake,NA,NA,,NA,,,,,
9762,14435,Johnson Lake,45.44376,-95.272065,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,25.1,,,done,27,kept Neotoma value
9763,14436,West Stump Lake,47.911675,-98.432175,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9764,14437,East Stump Lake,47.881285,-98.357165,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
9765,14438,Coon Lake,47.973315,-98.379385,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
1711,14439,Moon Lake,46.85592,-98.15984,Kettle Lake,lake,2,"Confirmed site with Google Earth, changed area",,85,,,done,35,**kept Neotoma value
9738,14443,Tower Lake,46.542635,-86.037795,Kettle Lake,lake,1,Confirmed loc. Changed area: Jackson et al 2014,,2.6,,,done,2.6,already in Neotoma
9767,14444,Hazelden Lake,45.520265,-97.44916,Kettle Lake,lake,NA,NA,,NA,,,,,
9768,14446,Hell Hole Lake,45.786565,-92.21898,Kettle Lake,lake,2,Confirmed lake: assumed correct location,,1.9,,,done,2,kept Neotoma value
9769,14447,Stink Lake,44.96723,-97.404695,Kettle Lake,lake,NA,NA,,NA,,,,,
9770,14448,Alkali Lake,46.025635,-97.38487,Kettle Lake,lake,NA,NA,,NA,,,,,
9771,14449,Horseshoe Lake,44.977035,-97.327105,Kettle Lake,lake,NA,NA,,NA,,,,,
1408,1445,Keele Lake,64.16667,-127.61667,Moraine Dammed Lake,lake,3,"Confirmed Lake with publication, changed area",,9,,,done,9,already in Neotoma
9772,14450,Lake Norden,44.596305,-97.19922,Kettle Lake,lake,NA,NA,,NA,,,,,
9773,14451,Hamann Dam,46.52435,-103.401185,Stock Dam,lake,NA,NA,,NA,,,,,
9774,14452,Unnamed Stock Dam,46.59467,-103.350905,Stock Dam,lake,NA,NA,,NA,,,,,
8553,14453,Lake Albert,44.53035,-97.15475,Kettle Lake,lake,NA,NA,,NA,,,,,
9775,14454,Lake Poinsett,44.56839,-97.086055,Kettle Lake,lake,NA,NA,,NA,,,,,
9776,14455,Lake Madison,43.95683,-97.02606,Kettle Lake,lake,NA,NA,,NA,,,,,
1409,1446,Kegan Lake,44.75836,-93.11674,Kettle Lake,lake,2,"Confirmed lake, site description",,11.4,,,done,17,kept Neotoma value
9782,14466,Unnamed Stock Dam,45.190535,-102.75903,Stock Dam,lake,NA,NA,,NA,,,,,
9783,14467,Iron Hills Site 1,44.07584,-103.776005,Pool,,NA,NA,,NA,,,,,
9784,14468,Iron Hills Site 2,44.07596,-103.76948,Pool,,NA,NA,,NA,,,,,
1410,1447,Kellys Hollow,45.3,-90.35,Mire,mire,2,Site description: bog. Area: Heide 1984,,0.4,,,done,0.4,"**already in Neotoma, units could be square miles instead of hectares from Google Earth"
1411,1448,Kellners Lake,44.23806,-87.84806,Kettle Lake,lake,1,"Confirmed site with Google Earth, changed area",,11.6,,,done,6,kept Neotoma value
9794,14487,Maitland Draw,44.12,-103.79619,Moss Polster,polster,NA,NA,,NA,,,,,
9794,14488,Maitland Draw,44.12,-103.79619,Beaver Dam,lake,NA,NA,,NA,,,,,
9795,14491,Browns Island,38.04217,-121.86795,Salt Marsh,marsh,NA,NA,,NA,,,,,
9796,14494,Roe Island,38.0723,-122.032935,Salt Marsh,marsh,NA,NA,,100.4,,,done,100.4,added dataset value
9798,14498,Dog Lake,50.780545,-115.92977,Moraine Dammed Lake,lake,NA,NA,,NA,,,,,
1413,1450,Kennys Pond,47.59028,-52.71389,Kettle Lake,lake,NA,NA,,NA,,,,,
9800,14501,Unnamed Stock Dam,46.584305,-103.45219,Stock Dam,lake,NA,NA,,NA,,,,,
9801,14502,Stockade Lake,43.768935,-103.519485,Reservoir,lake,NA,NA,,NA,,,,,
9803,14505,Williams Lake,46.60269,-103.89233,Stock Dam,lake,NA,NA,,NA,,,,,
1414,1451,Lac Kénogami,48.36583,-71.56694,Bog,bog,NA,NA,,NA,,,,,
9814,14517,Alpine Pond,37.63632,-112.82446,Tectonic Origin Lake,lake,1,Confirmed pond: Anderson et al 1999,,0.1,,,done,0.2,kept Neotoma value
1415,1452,Kenosee Lake,49.81667,-102.3,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
9824,14535,Lily Lake,44.19291,-93.63978,Kettle Lake,lake,2,Confirmed lake: description and Umbanhowar 2004,,44.9,,,done,24,kept Neotoma value
9825,14537,Kelly-Dudley Lake,44.354435,-93.365935,Kettle Lake,lake,2,Confirmed lake and area: Umbanhowar 2004,,50,,,done,50,already in Neotoma
9826,14539,Martha Lake,45.141805,-93.73915,Kettle Lake,lake,2,Confirmed lake: Umbanhowar 2004,,39.9,,,done,39,kept Neotoma value
9829,14544,Peach Lake,45.297245,-101.31167,Reservoir,lake,NA,NA,,NA,,,,,
