"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Potamogeton pectinatus-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogeton-type","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton-type","NA"
"Potamogeton/Triglochin","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton/Triglochin","NA"
"Potamogetonaceae","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogetonaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogetonaceae-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Ranunculus aquatilis","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Ranunculus aquatilis-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Ranunculus subg. Batrachium","NISP","pollen","NA","Vascular plants","AQVP","Ranunculus subg. Batrachium","NA"
"Ranunculus trichophyllus-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Rhynchospora","NISP","pollen","NA","Vascular plants","AQVP","Rhynchospora","NA"
"Rhynchospora alba","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Rhynchospora-type","NISP","pollen","NA","Vascular plants","AQVP","Rhynchospora-type","NA"
"Ruppia","NISP","pollen","NA","Vascular plants","AQVP","Ruppia","NA"
"Ruppia maritima","NISP","pollen","NA","Vascular plants","AQVP","Ruppia maritima","NA"
"Sagittaria","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Sarracenia","NISP","pollen","NA","Vascular plants","AQVP","Sarracenia","NA"
"Scheuchzeria","NISP","pollen","NA","Vascular plants","AQVP","Scheuchzeria","NA"
"Scheuchzeria palustris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Sparganium","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Sparganium-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Spermatophyta undiff. (aquatics)","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Stratiotes","NISP","pollen","NA","Vascular plants","AQVP","Stratiotes","NA"
"Stuckenia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Stuckenia cf. S. pectinata","NISP","pollen","NA","Vascular plants","AQVP","Stuckenia cf. S. pectinata","NA"
"Trapa","NISP","pollen","NA","Vascular plants","AQVP","Trapa","NA"
"Triglochin","NISP","pollen","NA","Vascular plants","AQVP","Triglochin","NA"
"Typha","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha","NISP digitized","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha (tetrad)","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha angustifolia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha angustifolia-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha angustifolia/Sparganium","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha latifolia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Typha/Sparganium","NISP","pollen","NA","Vascular plants","AQVP","Typha/Sparganium","NA"
"Typha/Sparganium undiff.","NISP","pollen","NA","Vascular plants","AQVP","Typha/Sparganium undiff.","NA"
"Typhaceae","NISP","pollen","NA","Vascular plants","AQVP","Typhaceae","NA"
"Utricularia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Utricularia vulgaris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Viola palustris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Zizania aquatica","NISP","pollen","NA","Vascular plants","AQVP","Zizania aquatica","NA"
"Charcoal","number","fragment","NA","Charcoal","CHAR","NA","NA"
"Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO","NA","NA"
"Dinoflagellata","NISP","hystrichosphere cyst","NA","Dinoflagellates","DINO","NA","NA"
"Cladosporium","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Fungi","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Meliola","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Sporormiella","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Tilletia","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Tilletia sphagni","NISP","spore","NA","Fungi","FUNG","NA","NA"
"Author's pollen sum","NISP","NA","NA","Laboratory analyses","LABO","NA","NA"
"Eucalyptus spike","number","counted","NA","Laboratory analyses","LABO","Eucalyptus spike","NA"
"Eucalyptus spike","NISP","pollen","NA","Laboratory analyses","LABO","NA","NA"
"Eucalyptus suspension","grains/ml","concentration","NA","Laboratory analyses","LABO","Eucalyptus suspension|concentration|grains/ml","NA"
"Eucalyptus suspension","ml","quantity added","NA","Laboratory analyses","LABO","Eucalyptus suspension|quantity added|ml","NA"
"Eucalyptus tablets","number","quantity added","NA","Laboratory analyses","LABO","NA","NA"
"Eucalyptus tablets","g","quantity added","NA","Laboratory analyses","LABO","Eucalyptus tablets|quantity added|g","NA"
"Eucalyptus tablets","grains/tablet","concentration","NA","Laboratory analyses","LABO","Eucalyptus tablets|concentration|grains/tablet","NA"
"Eucalyptus tablets","grains/g","concentration","NA","Laboratory analyses","LABO","Eucalyptus tablets|concentration|grains/g","NA"
"Lycopodium spike","number","counted","NA","Laboratory analyses","LABO","NA","NA"
"Lycopodium suspension","grains/g","concentration","NA","Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/g","NA"
"Lycopodium suspension","ml","quantity added","NA","Laboratory analyses","LABO","Lycopodium suspension|quantity added|ml","NA"
"Lycopodium suspension","grains/ml","concentration","NA","Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/ml","NA"
"Lycopodium tablets","grains/tablet","concentration","NA","Laboratory analyses","LABO","Lycopodium tablets|concentration|grains/tablet","NA"
"Lycopodium tablets","number","quantity added","NA","Laboratory analyses","LABO","Lycopodium tablets|quantity added|number","NA"
"Microsphere suspension","ml","quantity added","NA","Laboratory analyses","LABO","Microsphere suspension|quantity added|ml","NA"
"Microsphere suspension","number/ml","concentration","NA","Laboratory analyses","LABO","Microsphere suspension|concentration|number/ml","NA"
"Microspheres","number","counted","NA","Laboratory analyses","LABO","Microspheres","NA"
"Microspheres","NISP","counted","NA","Laboratory analyses","LABO","Microspheres","NA"
"Microspheres","grains/ml","counted","NA","Laboratory analyses","LABO","NA","NA"
"Pollen concentration","grains/ml","microsphere method","NA","Laboratory analyses","LABO","NA","NA"
"Pollen concentration","grains/ml","NA","NA","Laboratory analyses","LABO","NA","NA"
"Pollen concentration","grains/ml","Eucalyptus method","NA","Laboratory analyses","LABO","Pollen concentration|Eucalyptus method|grains/ml","NA"
"Sample quantity","ml","volume examined","NA","Laboratory analyses","LABO","NA","NA"
"Sample quantity","ml","volume","NA","Laboratory analyses","LABO","Sample quantity","NA"
"Sample quantity","g","dry mass examined","NA","Laboratory analyses","LABO","Sample quantity|dry mass examined|g","NA"
"Sample quantity","number","counted","NA","Laboratory analyses","LABO","NA","NA"
"Spike","NISP","counted","NA","Laboratory analyses","LABO","NA","NA"
"Spike","NISP","pollen","NA","Laboratory analyses","LABO","NA","NA"
"Spike","number","counted","NA","Laboratory analyses","LABO","NA","NA"
"Spike","ml","volume","NA","Laboratory analyses","LABO","NA","NA"
"Spike suspension","number/ml","concentration","NA","Laboratory analyses","LABO","NA","NA"
"Spike suspension","grains/ml","concentration","NA","Laboratory analyses","LABO","NA","NA"
"Unknown/Rare","NISP","pollen/spore","NA","Plants undiff.","PLNT","NA","NA"
"Angiospermae undiff.","NISP","pollen","NA","Vascular plants","SEED","NA","NA"
"cf. Hippuris","NISP","pollen","NA","Vascular plants","SEED","NA","NA"
"cf. Stratiotes","NISP","pollen","NA","Vascular plants","SEED","NA","NA"
"cf. Verruinaperturites depressus","NISP","palynomorph","anachronic","Vascular plants","SEED","NA","NA"
"cf. Verrumonocolpites conspicuus","NISP","pollen","anachronic","Vascular plants","SEED","NA","NA"
"Eudicotyledoneae (tricolporate, small)","NISP","pollen","NA","Vascular plants","SEED","NA","NA"
"Populus-type","NISP","pollen","NA","Vascular plants","SEED","NA","NA"
"Punctatriletes parvimundus","NISP","spore","anachronic","Vascular plants","SEED","NA","NA"
"Verrumonoporites verrucatus","NISP","pollen","anachronic","Vascular plants","SEED","NA","NA"
"Cactaceae","NISP","pollen","NA","Vascular plants","SUCC","NA","NA"
"Abies","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Abies","NISP","stomate","NA","Vascular plants","TRSH","Abies|stomate|NISP","NA"
"Abies","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Abies balsamea","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Acer","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer (reticulate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer (rugulate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer (striate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer cf. A. negundo","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer cf. A. spicatum","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer negundo","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer negundo-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer nigrum","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer pensylvanicum","NISP","pollen","NA","Vascular plants","TRSH","Acer pensylvanicum","Maple"
"Acer rubrum","NISP","pollen","NA","Vascular plants","TRSH","Acer rubrum","Maple"
"Acer saccharinum","NISP","pollen","NA","Vascular plants","TRSH","Acer saccharinum","Maple"
"Acer saccharinum-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer saccharum","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer saccharum-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer spicatum","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Acer undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Maple"
"Alnus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus (pentaporate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus (tetraporate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus (triporate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus cf. A. incana","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus cf. A. viridis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus cf. A. viridis subsp. crispa","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus incana","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus incana-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus viridis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Alnus viridis subsp. crispa","NISP","pollen","NA","Vascular plants","TRSH","Alnus viridis subsp. crispa","Other hardwood"
"Alnus viridis subsp. crispa-type","NISP","pollen","NA","Vascular plants","TRSH","Alnus viridis subsp. crispa-type","Other hardwood"
"Alnus viridis-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Amelanchier-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Amorpha fruticosa","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Anacardiaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Aquifoliaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Arceuthobium","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Betula","NISP","pollen","NA","Vascular plants","TRSH","NA","Birch"
"Betula","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Birch"
"Betula/Ostrya","NISP","pollen","NA","Vascular plants","TRSH","NA","Birch"
"Betulaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Birch"
"Buxus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cannabaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Caprifoliaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Caprifoliaceae sensu lato","NISP","pollen","NA","Vascular plants","TRSH","Caprifoliaceae sensu lato","NA"
"Caprifoliaceae sensu lato undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Carpinus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Carya","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Carya","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Castanea","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Castanea dentata","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Ceanothus","NISP","pollen","NA","Vascular plants","TRSH","Ceanothus","NA"
"Celastrus","NISP","pollen","NA","Vascular plants","TRSH","Celastrus","NA"
"Celastrus scandens","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Celtis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Celtis occidentalis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Celtis/Maclura-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Cephalanthus","NISP","pollen","NA","Vascular plants","TRSH","Cephalanthus","NA"
"cf. Arceuthobium","NISP","pollen","NA","Vascular plants","TRSH","cf. Arceuthobium","NA"
"cf. Castanea","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Ceanothus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"cf. Cephalanthus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"cf. Cupressaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"cf. Fraxinus","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"cf. Ilex","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"cf. Morus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Platanus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Prunus serotina","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Rhamnus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Rhamnus alnifolia","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Rhus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Robinia","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"cf. Sambucus","NISP","pollen","NA","Vascular plants","TRSH","cf. Sambucus","Other hardwood"
"cf. Shepherdia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"cf. Taxus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"cf. Taxus canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"cf. Viburnum lentago","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Chamaedaphne calyculata","NISP","pollen","NA","Vascular plants","TRSH","Chamaedaphne calyculata","NA"
"Clethra","NISP","pollen","NA","Vascular plants","TRSH","Clethra","NA"
"Clusiaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Comptonia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Comptonia peregrina","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Coniferae undiff.","NISP","stomate","NA","Vascular plants","TRSH","Coniferae undiff.","NA"
"Coniferae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus alternifolia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus canadensis-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus cf. C. rugosa","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus racemosa","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus rugosa","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus sericea","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cornus sericea-type","NISP","pollen","NA","Vascular plants","TRSH","Cornus sericea-type","NA"
"Cornus undiff.","NISP","pollen","NA","Vascular plants","TRSH","Cornus undiff.","NA"
"Corylus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Corylus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Corylus americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Corylus cornuta","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Corylus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Crataegus","NISP","pollen","NA","Vascular plants","TRSH","Crataegus","NA"
"Crataegus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Cupressaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Cupressaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","Cupressaceae undiff.","Other conifer"
"Cupressaceae/Taxaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Cupressaceae/Taxaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","Cupressaceae/Taxaceae undiff.","Other conifer"
"Diervilla","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Diervilla lonicera","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Elaeagnaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Elaeagnaceae","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","NA"
"Elaeagnus","NISP","pollen","NA","Vascular plants","TRSH","Elaeagnus","NA"
"Elaeagnus commutata","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Empetrum","NISP","pollen","NA","Vascular plants","TRSH","Empetrum","NA"
"Ephedra","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ephedra nevadensis-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ephedra torreyana-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ephedra trifurca-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ephedra undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ephedra viridis-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ericaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ericaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","Ericaceae undiff.","NA"
"Ericaceae-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ericales","NISP","pollen","NA","Vascular plants","TRSH","Ericales","NA"
"Ericales undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Eucalyptus","NISP","pollen","NA","Vascular plants","TRSH","Eucalyptus","NA"
"Fagus","NISP","pollen","NA","Vascular plants","TRSH","NA","Beech"
"Fagus grandifolia","NISP","pollen","NA","Vascular plants","TRSH","NA","Beech"
"Fraxinus","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus (tetracolpate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus (tricolpate)","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus americana-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus nigra","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus nigra-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus pennsylvanica","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus pennsylvanica-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
